epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,38926.6,1.14784,0.83051,1.64664,0.71466,0.78213,0.80617,0.41633,1.693,1.08613,2.22978,0.000275084,0.000275084,0.000275084
78,39386.2,1.1323,0.81303,1.63935,0.73778,0.78105,0.81145,0.43335,1.68066,1.07699,2.2061,0.000264085,0.000264085,0.000264085
79,39859.1,1.12045,0.81478,1.64286,0.73636,0.74931,0.80364,0.41585,1.71273,1.04899,2.20795,0.000253086,0.000253086,0.000253086
80,40320.8,1.11594,0.79116,1.63212,0.72957,0.78268,0.81355,0.43759,1.63923,1.02086,2.17879,0.000242087,0.000242087,0.000242087
81,40776.5,1.15445,0.80901,1.63803,0.78338,0.73961,0.81272,0.43164,1.63863,1.03654,2.1801,0.000231088,0.000231088,0.000231088
82,41213.3,1.10637,0.77414,1.62714,0.69179,0.81723,0.81641,0.43666,1.63281,0.99603,2.16252,0.000220089,0.000220089,0.000220089
83,41649.2,1.10862,0.79775,1.63607,0.76922,0.79085,0.84409,0.43912,1.65513,0.99546,2.17081,0.00020909,0.00020909,0.00020909
84,42084.1,1.12961,0.80155,1.64501,0.74042,0.80057,0.81906,0.44185,1.63623,1.01431,2.14664,0.000198091,0.000198091,0.000198091
85,42516.8,1.09637,0.76687,1.60879,0.72176,0.81006,0.82801,0.43189,1.6687,1.00609,2.1755,0.000187092,0.000187092,0.000187092
86,42958.8,1.1031,0.75386,1.61016,0.73011,0.80795,0.83811,0.43829,1.65337,1.00349,2.17345,0.000176094,0.000176094,0.000176094
87,43392.8,1.09453,0.79006,1.6025,0.76161,0.80115,0.84026,0.4426,1.64199,0.99995,2.15423,0.000165095,0.000165095,0.000165095
88,43833.9,1.10349,0.76908,1.60597,0.74422,0.81479,0.84089,0.45217,1.62629,0.98833,2.14796,0.000154096,0.000154096,0.000154096
89,44296.9,1.09397,0.76368,1.59715,0.73493,0.79631,0.83914,0.44222,1.65723,0.99984,2.16376,0.000143097,0.000143097,0.000143097
90,44830.9,1.07782,0.75347,1.60712,0.74114,0.81168,0.83665,0.44695,1.64331,1.00839,2.16152,0.000132098,0.000132098,0.000132098
91,45486.7,1.13245,0.66727,1.66742,0.735,0.80249,0.82575,0.42549,1.65963,0.99894,2.19138,0.000121099,0.000121099,0.000121099
92,46203.8,1.10178,0.64095,1.6458,0.77156,0.81327,0.85441,0.46492,1.58468,0.95909,2.1238,0.0001101,0.0001101,0.0001101
93,46687.7,1.10732,0.63432,1.63876,0.72808,0.84622,0.84439,0.4563,1.5939,0.98343,2.13147,9.91012e-05,9.91012e-05,9.91012e-05
94,47112.6,1.1055,0.61933,1.63885,0.7968,0.80568,0.854,0.45418,1.6085,0.98467,2.16037,8.81023e-05,8.81023e-05,8.81023e-05
95,47527.3,1.07689,0.61094,1.60699,0.7759,0.77703,0.83643,0.45995,1.57205,0.97947,2.12955,7.71034e-05,7.71034e-05,7.71034e-05
96,47973.4,1.05093,0.60216,1.61191,0.77684,0.76761,0.8477,0.46037,1.58934,0.96247,2.13642,6.61045e-05,6.61045e-05,6.61045e-05
97,48837.3,1.07698,0.61024,1.62443,0.82347,0.7465,0.85506,0.46525,1.58328,0.94865,2.13188,5.51056e-05,5.51056e-05,5.51056e-05
98,49331.5,1.0588,0.59274,1.59373,0.77146,0.78782,0.84817,0.46938,1.56369,0.94611,2.11762,4.41067e-05,4.41067e-05,4.41067e-05
99,49791.2,1.06896,0.59267,1.60957,0.79065,0.78696,0.84993,0.46449,1.57536,0.96418,2.13444,3.31078e-05,3.31078e-05,3.31078e-05
100,50250.9,1.05778,0.58201,1.59468,0.78335,0.77837,0.85131,0.46694,1.56799,0.95726,2.12662,2.21089e-05,2.21089e-05,2.21089e-05
